;image_id;face_sunglasses;user_posted_photos;post_graduate;face_mustache;user_followed_by;face_beard;born;eyeglasses;college;female;income;emotion_score;PERMA;high_school;insta_user_id;user_follows
93;1141020793866645734_8854187;False;599.0;False;False;177.0;False;1985;True;False;True;45000;0.15842;7;True;8854187;411.0
94;1141420068996506556_55520631;False;102.0;False;False;106.0;False;1987;True;True;True;45000;0.12618;9;False;55520631;67.0
95;1143870289330144516_588452400;False;312.0;False;False;196.0;False;1990;True;True;True;25000;0.1489;9;False;588452400;233.0
96;1147517760528874625_1619510;False;2037.0;False;False;364.0;False;1974;True;False;True;45000;0.1765;4;True;1619510;814.0
97;1150426494974342336_545497348;False;505.0;False;True;1345.0;True;1979;True;True;True;35000;0.14826;6;False;545497348;498.0
98;1151748580842324811_1249457735;False;30.0;False;False;66.0;False;1976;False;False;True;125000;0.16598;6;True;1249457735;93.0
99;1153300672281762672_31736205;False;1052.0;False;False;732.0;False;1989;False;False;True;35000;0.13632;4;True;31736205;201.0
100;1154575461978264754_30191588;False;72.0;False;True;199.0;True;1993;True;False;False;55000;0.1496;5;True;30191588;191.0
101;1156246401062322536_451627351;False;348.0;False;False;274.0;False;1982;False;True;False;25000;0.1457;10;False;451627351;489.0
102;1156268315556571213_289794729;False;820.0;False;True;598.0;True;1990;True;True;True;25000;0.1757;6;False;289794729;398.0
103;1157156485656769376_2062266819;False;272.0;False;False;3963.0;False;1985;False;True;True;25000;0.15884;9;False;2062266819;339.0
104;1159009049126420648_451627351;False;348.0;False;False;274.0;True;1982;False;True;False;25000;0.11402;10;False;451627351;489.0
105;1159098809465825780_289794729;False;820.0;False;False;598.0;False;1990;False;True;True;25000;0.17858;6;False;289794729;398.0
106;1161265558244990274_235671446;False;2997.0;False;True;1318.0;False;1987;False;True;False;55000;0.14054;6;False;235671446;936.0
107;1161272248118854406_451627351;False;348.0;False;True;274.0;True;1982;False;True;False;25000;0.15084;10;False;451627351;489.0
108;1161289729659158670_451627351;False;348.0;False;False;274.0;False;1982;False;True;False;25000;0.14148;10;False;451627351;489.0
109;1163159205862381281_650122500;False;398.0;False;True;133.0;True;1994;True;True;True;5000;0.18158;3;False;650122500;191.0
110;1163816519919912528_7410944;False;406.0;False;False;146.0;False;1984;False;True;True;95000;0.198;5;False;7410944;118.0
111;1166393073973116955_451627351;True;348.0;False;False;274.0;False;1982;False;True;False;25000;0.14084;10;False;451627351;489.0
112;1166720079118145387_650122500;False;398.0;False;False;133.0;False;1994;True;True;True;5000;0.20574;3;False;650122500;191.0
113;1167724003725911873_481709584;False;178.0;False;False;328.0;False;1997;True;False;True;15000;0.1931;9;True;481709584;432.0
114;1168381311886046799_30837828;False;552.0;False;True;1617.0;True;1989;False;True;False;15000;0.16214;8;False;30837828;1459.0
115;1168479085979477433_481709584;False;178.0;False;True;328.0;False;1997;False;False;True;15000;0.17248;9;True;481709584;432.0
116;1169124827666366985_451627351;False;348.0;False;False;274.0;False;1982;False;True;False;25000;0.14682;10;False;451627351;489.0
117;1169300558971833449_48972978;False;210.0;False;False;819.0;False;1992;False;False;True;55000;0.18654;5;True;48972978;210.0
118;1169553922463912590_2032642067;False;181.0;False;False;3168.0;False;1986;False;True;False;5000;0.18228;10;False;2032642067;3420.0
119;1175111672607976085_1804133497;False;60.0;False;False;126.0;False;1988;False;True;True;55000;0.1363;8;False;1804133497;210.0
120;1176829981758387441_143763900;False;772.0;False;False;456.0;False;1992;True;False;True;65000;0.16184;8;True;143763900;190.0
121;1179328042312096517_1097967773;False;282.0;False;False;53.0;False;1991;False;True;False;45000;0.1471;6;False;1097967773;154.0
122;1179609623940591670_2062266819;False;272.0;False;False;3963.0;False;1985;False;True;True;25000;0.2154;9;False;2062266819;339.0
123;1181362298969150439_249861555;False;691.0;False;False;445.0;False;1989;False;False;True;125000;0.18682;6;True;249861555;5154.0
124;1181658502540359238_143763900;False;772.0;False;False;456.0;False;1992;True;False;True;65000;0.18808;8;True;143763900;190.0
125;1181773371832824417_2062266819;False;272.0;False;False;3963.0;False;1985;False;True;True;25000;0.1639;9;False;2062266819;339.0
126;1183368078375276725_249861555;False;691.0;False;False;445.0;False;1989;False;False;True;125000;0.13304;6;True;249861555;5154.0
127;1184183141970104869_276232195;False;427.0;False;True;1199.0;True;1994;False;True;False;35000;0.23702;8;False;276232195;337.0
128;1184431552383343375_31736205;False;1052.0;False;False;732.0;False;1989;False;False;True;35000;0.19728;4;True;31736205;201.0
129;1186374644787597551_249861555;False;691.0;False;False;445.0;False;1989;False;False;True;125000;0.18812;6;True;249861555;5154.0
130;1186471419262197685_46329534;False;503.0;False;False;322.0;False;1991;False;False;True;25000;0.1802;4;True;46329534;559.0
131;1187159277515067908_249861555;False;691.0;False;False;445.0;False;1989;False;False;True;125000;0.1983;6;True;249861555;5154.0
132;1187363178413542827_619868570;False;469.0;False;False;612.0;False;1975;False;True;False;35000;0.16164;5;False;619868570;1987.0
133;1189362893863905637_289794729;False;820.0;False;False;598.0;False;1990;True;True;True;25000;0.22564;6;False;289794729;398.0
134;1190110437364445573_55281515;False;336.0;False;False;206.0;False;1994;False;True;True;35000;0.15668;6;False;55281515;102.0
135;1193251567630264014_481709584;False;178.0;False;False;328.0;False;1997;False;False;True;15000;0.24174;9;True;481709584;432.0
136;1196505982927844255_52590715;False;464.0;False;False;105.0;False;1985;False;True;True;5000;0.20358;7;False;52590715;187.0
137;1196618986924036909_249861555;False;691.0;False;False;445.0;False;1989;False;False;True;125000;0.24394;6;True;249861555;5154.0
138;1199618649723216468_265063047;False;384.0;False;False;389.0;False;1993;True;False;True;85000;0.20484;4;True;265063047;32.0
139;1199856683176456876_2062266819;False;272.0;False;False;3963.0;False;1985;False;True;True;25000;0.16152;9;False;2062266819;339.0
140;1203725758842399662_289794729;False;820.0;False;False;598.0;False;1990;False;True;True;25000;0.1902;6;False;289794729;398.0
141;1205354666744624821_30837828;False;552.0;False;False;1617.0;False;1989;False;True;False;15000;0.13486;8;False;30837828;1459.0
142;1206072521237450734_619868570;False;469.0;False;False;612.0;False;1975;False;True;False;35000;0.22154;5;False;619868570;1987.0
143;1206798353262169554_619868570;False;469.0;False;False;612.0;True;1975;False;True;False;35000;0.157225;5;False;619868570;1987.0
144;1206965029986157532_451627351;False;348.0;False;False;274.0;False;1982;False;True;False;25000;0.16466;10;False;451627351;489.0
145;1208286262591289182_143763900;False;772.0;False;True;456.0;True;1992;True;False;True;65000;0.17358;8;True;143763900;190.0
146;1208342106122769122_249861555;False;691.0;False;False;445.0;False;1989;False;False;True;125000;0.20068;6;True;249861555;5154.0
147;1208786693764363173_52590715;False;464.0;False;False;105.0;False;1985;False;True;True;5000;0.20018;7;False;52590715;187.0
148;1208978123007742804_249861555;False;691.0;False;False;445.0;False;1989;False;False;True;125000;0.22648;6;True;249861555;5154.0
149;1210185459159478524_52590715;False;464.0;False;False;105.0;False;1985;False;True;True;5000;0.18712;7;False;52590715;187.0
150;1210472450326276837_262136545;False;905.0;False;False;192.0;False;1984;False;True;True;45000;0.18388;5;False;262136545;367.0
151;1210483587461698091_249861555;False;691.0;False;False;445.0;False;1989;False;False;True;125000;0.20068;6;True;249861555;5154.0
152;1211849639625677722_31736205;False;1052.0;False;False;732.0;False;1989;False;False;True;35000;0.1495;4;True;31736205;201.0
153;1213209446278779838_249861555;False;691.0;False;False;445.0;False;1989;False;False;True;125000;0.20068;6;True;249861555;5154.0
154;1214666837861012528_650122500;False;398.0;False;False;133.0;False;1994;True;True;True;5000;0.15102;3;False;650122500;191.0
155;1217695700078048346_30837828;False;552.0;False;False;1617.0;False;1989;False;True;False;15000;0.1661;8;False;30837828;1459.0
156;1217913020632843000_451627351;False;348.0;False;False;274.0;False;1982;False;True;False;25000;0.1722;10;False;451627351;489.0
157;1218595106603710241_545497348;False;505.0;False;True;1345.0;True;1979;False;True;True;35000;0.20518;6;False;545497348;498.0
158;1219759514902271428_650122500;False;398.0;False;False;133.0;True;1994;True;True;True;5000;0.14784;3;False;650122500;191.0
159;1219864808776843829_451627351;False;348.0;False;False;274.0;False;1982;False;True;False;25000;0.1593;10;False;451627351;489.0
160;1220653247065652880_1619510;False;2037.0;False;False;364.0;False;1974;True;False;True;45000;0.13044;4;True;1619510;814.0
161;1224238903873524452_249861555;False;691.0;False;False;445.0;False;1989;False;False;True;125000;0.19524;6;True;249861555;5154.0
162;1225071036566839368_265063047;False;384.0;False;False;389.0;False;1993;False;False;True;85000;0.21112;4;True;265063047;32.0
163;1225433037509618456_289794729;False;820.0;False;False;598.0;False;1990;False;True;True;25000;0.18228;6;False;289794729;398.0
164;1227763534476395508_451627351;False;348.0;False;False;274.0;False;1982;False;True;False;25000;0.10284;10;False;451627351;489.0
165;1227774752153118220_481709584;False;178.0;False;False;328.0;False;1997;False;False;True;15000;0.15;9;True;481709584;432.0
166;1228549982482847886_53918317;False;105.0;False;False;100.0;False;1980;False;False;True;35000;0.13712;1;True;53918317;174.0
167;1230792528342734924_31736205;False;1052.0;False;False;732.0;False;1989;False;False;True;35000;0.16752;4;True;31736205;201.0
168;1231511625121166263_2062266819;False;272.0;False;False;3963.0;False;1985;False;True;True;25000;0.2141;9;False;2062266819;339.0
169;1232008943361114876_451627351;False;348.0;False;False;274.0;False;1982;False;True;False;25000;0.14606;10;False;451627351;489.0
170;1234332453360495434_289794729;False;820.0;False;False;598.0;False;1990;False;True;True;25000;0.16046;6;False;289794729;398.0
171;1235038948091657479_1619510;False;2037.0;False;False;364.0;False;1974;True;False;True;45000;0.21268;4;True;1619510;814.0
172;1235227961968746101_46329534;False;503.0;False;False;322.0;False;1991;False;False;True;25000;0.19838;4;True;46329534;559.0
173;1238585596248014360_2932434558;False;108.0;False;False;284.0;False;1995;False;False;True;5000;0.17616;5;True;2932434558;432.0
174;1238602274728753647_50853245;False;653.0;True;False;328.0;False;1986;False;False;True;75000;0.20736;5;False;50853245;885.0
175;1238679918761957651_183823541;False;1344.0;False;False;148.0;False;1977;False;True;True;55000;0.17316;6;False;183823541;180.0
176;1239310945246189002_650122500;False;398.0;False;False;133.0;False;1994;False;True;True;5000;0.1652;3;False;650122500;191.0
177;1239802719857063586_545497348;False;505.0;False;True;1345.0;True;1979;False;True;True;35000;0.1769;6;False;545497348;498.0
178;1240259397964872991_22180590;False;1365.0;False;True;890.0;True;1994;False;True;True;45000;0.16612;4;False;22180590;115.0
179;1241550952288198726_265063047;True;384.0;False;False;389.0;True;1993;False;False;True;85000;0.21276;4;True;265063047;32.0
180;1242273458237522869_451627351;False;348.0;False;False;274.0;True;1982;False;True;False;25000;0.16216;10;False;451627351;489.0
181;1243169573476549099_451627351;False;348.0;False;False;274.0;False;1982;False;True;False;25000;0.12692;10;False;451627351;489.0
182;1243886990528585973_265063047;False;384.0;False;False;389.0;False;1993;False;False;True;85000;0.24814;4;True;265063047;32.0
183;1243896107727640368_30191588;False;72.0;False;False;199.0;False;1993;True;False;False;55000;0.12928;5;True;30191588;191.0
184;1244273284416323763_451627351;False;348.0;False;False;274.0;False;1982;False;True;False;25000;0.14794;10;False;451627351;489.0
